Product Description,MON TUE,WED,THU,FRI,SAT,SUN,Total,List,Price,Net Val,GST,Unnamed: 12,GST Amt,Net Val.1
,17/06 18/06,19/06,20/06,21/06,22/06,23/06,Units,Price,,Excl GST,(%),,($),Incl GST
,Del Ret Del Ret,Del Ret,Del Ret,Del Ret,Del Ret,Del Ret,,,,,,,,
Docket,8048193045,8048233422,,8048274102,,,,,,,,,,
Flat breads:,,,,,,,,,,,,,,
0167506 HELG TRAD WHT WRAP P8,,,,1 0,,,1,3.63,3.27,3.27,0,,0.00,3.27
0169703 HELG S HERB WRP P7,,,,1 0,,,1,3.63,3.27,3.27,0,,0.00,3.27
Flat breads: TOTALS,0 0 0 0,0 0,0 0,2 0,0 0,0 0,2,,,6.54,,,0,6.54
Retail Bread:,,,,,,,,,,,,,,
0144422 WNDR WML 700G,2 0,2 0,,2 0,,,6,3.79,2.84,17.04,0,,0.00,17.04
0144525 WNDR WHT HIFI 700G,2 0,2 0,,0 2,,,2,3.79,2.84,5.68,0,,0.00,5.68
0144527 WNDR WHT VIT MIN700G,2 0,3 0,,3 0,,,8,3.79,2.84,22.72,0,,0.00,22.72
0144200 HELG TRAD WHT 750G,2 1,2 0,,2 1,,,4,4.82,3.26,13.04,0,,0.00,13.04
0144199 HELG TRAD WML 750G,2 0,2 0,,2 1,,,5,4.82,3.26,16.30,0,,0.00,16.30
0144208 HELG LHT RYE 680G,1 0,,,,,,1,4.82,3.26,3.26,0,,0.00,3.26
0171572 HELG SRDGH,1 0,1 0,,1 1,,,2,4.82,3.26,6.52,0,,0.00,6.52
0171573 HELG OLV OIL HERB,1 0,1 0,,1 0,,,3,4.82,3.26,9.78,0,,0.00,9.78
0144296 PF BC WHT 650G,3 0,3 0,,3 2,,,7,3.60,1.6,11.20,0,,0.00,11.20
0144297 PF BC WHT THK 650G,3 0,3 0,,2 0,,,8,3.60,1.6,12.80,0,,0.00,12.80
0144298 PF BC WML 650G,0 0,3 0,,3 3,,,3,3.60,1.6,4.80,0,,0.00,4.80
Retail Bread: TOTALS,19 1 0 0,22 0,0 0,19 10,0 0,0 0,49,,,123.14,,,0,123.14
DAILY TOTALS,19 1 0 0,22 0,0 0,21 10,0 0,0 0,51,,,129.68,,,0,129.68
PO Number,,,,,,,,,,,,,,
SUBTOTAL,46.2 0,53.84,0,29.64,0,0,,,,129.68,,,0.00,129.68
THIS WEEK TOTAL,,,,,,,,,,,,,,129.68
,CLAIMS MUST BE MADE IN WRITING WITHIN 14 DAYS OF RECEIPT OF THIS INVOICE. CLAIMS NOT MADE WITHIN,,,,,,,,,,,,,
,THIS PERIOD WILL NOT BE RECOGNISED AND THE SUPPLIER SHALL BE DISCHARGED FROM ALL LIABILITY.,,,,,,,,,,,,,
Week End Date (Wk No) :,23.06.2019 (25),,,,,,,,,,,,,
Invoice No:,0994272486,,,,,,,,,,,,,
Amount Enclosed:,,,,,,,,,,,,,,
